10/19/22,2:46:19:161,FireSpire- 6  FireEnabled:  1
10/19/22,2:46:19:161,FireSpire- 6  Call For Ignition:  1
10/19/22,2:46:19:161,FireSpire- 6  Flame Detected:  0
10/19/22,2:46:19:161,FireSpire- 6  Moisture Alarm:  0
10/19/22,2:46:19:161,FireSpire- 6  Burner Faulted:  0
10/19/22,2:46:19:161,FireSpire- 6  LEL 102 Alarm:  0
10/19/22,2:46:19:162,FireSpire- 6  LEL 102 Warning:  0
10/19/22,2:46:19:162,FireSpire- 6  LEL 102 Fault:  0
10/19/22,2:46:19:162,FireSpire- 6  LEL 101 Alarm:  0
10/19/22,2:46:19:162,FireSpire- 6  LEL 101 Warning:  0
10/19/22,2:46:19:162,FireSpire- 6  LEL 101 Fault:  0
10/19/22,2:46:19:162,FireSpire- 6  MixTank Pressure High:  1
10/19/22,2:46:19:162,FireSpire- 6  H2Tank Pressure High:  1
10/19/22,2:46:19:162,FireSpire- 6  Estop:  0
10/19/22,2:46:19:163,FireSpire- 6  O2 Alarm:  0
10/19/22,2:46:19:163,FireSpire- 6  Air Flow:  1
10/19/22,2:46:19:180,FireSpire-1 ValveStatus::  1169
10/19/22,2:46:19:180,FireSpire-2 ValveStatus::  1169
10/19/22,2:46:19:180,FireSpire-3 ValveStatus::  1169
10/19/22,2:46:19:180,FireSpire-4 ValveStatus::  1169
10/19/22,2:46:19:180,FireSpire-5 ValveStatus::  1169
10/19/22,2:46:19:180,FireSpire-6 ValveStatus::  1169
10/19/22,2:46:19:181,KV- 1101  Position:  1
10/19/22,2:46:19:181,KV- 1102  Position:  0
10/19/22,2:46:19:181,KV- 1103  Position:  0
10/19/22,2:46:19:181,KV- 1104  Position:  0
10/19/22,2:46:19:181,KV- 1105  Position:  1
10/19/22,2:46:19:182,KV- 1106  Position:  0
10/19/22,2:46:19:182,KV- 1107  Position:  0
10/19/22,2:46:19:182,KV- 1108  Position:  1
10/19/22,2:46:19:182,YV- 1101  Position:  0
10/19/22,2:46:19:182,KV- 1109  Position:  0
10/19/22,2:46:19:182,KV- 1110  Position:  0
10/19/22,2:46:19:182,KV- 1115  Position:  0
10/19/22,2:46:19:182,KV- 1111  Position:  1
10/19/22,2:46:19:183,KV- 1116  Position:  0
10/19/22,2:46:19:183,KV- 1114  Position:  0
10/19/22,2:46:19:183,KV- 1117  Position:  0
10/19/22,2:46:19:183,KV- 1112  Position:  0
10/19/22,2:46:19:183,KV- 1113  Position:  0
10/19/22,2:46:19:183,KV- 2101  Position:  1
10/19/22,2:46:19:183,KV- 2102  Position:  0
10/19/22,2:46:19:183,KV- 2103  Position:  0
10/19/22,2:46:19:183,KV- 2104  Position:  0
10/19/22,2:46:19:184,KV- 2105  Position:  1
10/19/22,2:46:19:184,KV- 2106  Position:  0
10/19/22,2:46:19:184,KV- 2107  Position:  0
10/19/22,2:46:19:184,KV- 2108  Position:  1
10/19/22,2:46:19:184,YV- 2101  Position:  0
10/19/22,2:46:19:184,KV- 2109  Position:  0
10/19/22,2:46:19:184,KV- 2110  Position:  0
10/19/22,2:46:19:184,KV- 2115  Position:  0
10/19/22,2:46:19:185,KV- 2111  Position:  1
10/19/22,2:46:19:185,KV- 2116  Position:  0
10/19/22,2:46:19:185,KV- 2114  Position:  0
10/19/22,2:46:19:185,KV- 2117  Position:  0
10/19/22,2:46:19:185,KV- 2112  Position:  0
10/19/22,2:46:19:185,KV- 2113  Position:  0
10/19/22,2:46:19:185,KV- 3101  Position:  1
10/19/22,2:46:19:185,KV- 3102  Position:  0
10/19/22,2:46:19:186,KV- 3103  Position:  0
10/19/22,2:46:19:186,KV- 3104  Position:  0
10/19/22,2:46:19:186,KV- 3105  Position:  1
10/19/22,2:46:19:186,KV- 3106  Position:  0
10/19/22,2:46:19:186,KV- 3107  Position:  0
10/19/22,2:46:19:186,KV- 3108  Position:  1
10/19/22,2:46:19:186,YV- 3101  Position:  0
10/19/22,2:46:19:186,KV- 3109  Position:  0
10/19/22,2:46:19:186,KV- 3110  Position:  0
10/19/22,2:46:19:187,KV- 3115  Position:  0
10/19/22,2:46:19:187,KV- 3111  Position:  1
10/19/22,2:46:19:187,KV- 3116  Position:  0
10/19/22,2:46:19:187,KV- 3114  Position:  0
10/19/22,2:46:19:187,KV- 3117  Position:  0
10/19/22,2:46:19:187,KV- 3112  Position:  0
10/19/22,2:46:19:187,KV- 3113  Position:  0
10/19/22,2:46:19:187,KV- 4101  Position:  1
10/19/22,2:46:19:187,KV- 4102  Position:  0
10/19/22,2:46:19:188,KV- 4103  Position:  0
10/19/22,2:46:19:188,KV- 4104  Position:  0
10/19/22,2:46:19:188,KV- 4105  Position:  1
10/19/22,2:46:19:188,KV- 4106  Position:  0
10/19/22,2:46:19:188,KV- 4107  Position:  0
10/19/22,2:46:19:188,KV- 4108  Position:  1
10/19/22,2:46:19:188,YV- 4101  Position:  0
10/19/22,2:46:19:188,KV- 4109  Position:  0
10/19/22,2:46:19:188,KV- 4110  Position:  0
10/19/22,2:46:19:189,KV- 4115  Position:  0
10/19/22,2:46:19:189,KV- 4111  Position:  1
10/19/22,2:46:19:189,KV- 4116  Position:  0
10/19/22,2:46:19:189,KV- 4114  Position:  0
10/19/22,2:46:19:189,KV- 4117  Position:  0
10/19/22,2:46:19:189,KV- 4112  Position:  0
10/19/22,2:46:19:189,KV- 4113  Position:  0
